Transaction ID,Store ID,Brand,Category,Price,Quantity,Amount,Used Loan,Loan Paid,Shipment State
878025867222736985,67151096,Brand 6,Cata 3,9914.042111365146,3.402087813989181,33728.44185445093,True,True,State 1
262438362522511702,11962864,Brand 5,Cata 4,10401.373870633959,3.154039492066988,32806.343959733174,True,True,State 3
863847063254882278,80983266,Brand 10,Cata 1,8760.193741096078,4.287977019721279,37563.50945012617,True,True,State 2
835251735595604374,17820491,Brand 7,Cata 3,8437.491195948876,5.140951934535372,43376.73668643855,True,False,State 2
805429396523273144,31503498,Brand 3,Cata 2,9549.30136993213,6.165716331965985,58878.283415455684,True,False,State 2
239765792951042126,70645143,Brand 9,Cata 2,8557.506501628919,6.367048868089298,54486.06208486322,True,True,State 1
196106478242453472,69222295,Brand 1,Cata 1,8718.478708099992,9.500232489134213,82827.57467851642,True,True,State 3
504590900760773536,48600255,Brand 4,Cata 1,12000.0,2.725301237927962,32703.614855135547,False,False,State 1
459079049497623633,25946133,Brand 10,Cata 5,9887.016674010452,5.791711320125055,57262.74639313151,True,True,State 3
951165911987096788,97014436,Brand 10,Cata 1,6000.0,1.6731532918312335,10038.919750987401,True,True,State 2
871820450318427776,91578314,Brand 4,Cata 1,8803.271995579364,5.7770793820627695,50857.20114035212,True,True,State 3
421928153133744414,69328736,Brand 4,Cata 5,10159.211451369449,2.075301253220357,21083.424256757622,True,False,State 3
852720867952272415,74902826,Brand 2,Cata 4,9303.431882342398,3.1191851675552122,29019.126734762678,True,False,State 1
264700797149119953,79789172,Brand 14,Cata 4,9843.921811187565,5.264827639113706,51826.55162881455,False,True,State 1
559428465582711466,79838546,Brand 4,Cata 6,8189.611358109638,5.2991151022850245,43397.69322960375,True,True,State 3
496826057854035176,81993529,Brand 5,Cata 1,7521.236236066065,6.245107512389064,46970.92892030903,True,True,State 3
626863203564071918,68890718,Brand 3,Cata 1,8774.837723318547,4.74084593564219,41600.1537565145,False,True,State 2
636210271750148060,36463988,Brand 9,Cata 4,10622.420739572091,5.56893492033097,59155.56979505095,False,False,State 1
315863243201487041,41058470,Brand 1,Cata 3,6566.33856776784,6.832614817991203,44865.262198077675,True,True,State 1
466250067584847900,11251486,Brand 9,Cata 2,10741.18824694989,7.7240889260653995,82965.89319104947,True,True,State 2
461568299487273389,14459647,Brand 15,Cata 4,8396.23283307401,5.62315997573008,47213.36041385255,True,True,State 11
567790836980349081,22478488,Brand 15,Cata 8,10633.787114290571,6.301287487340495,67006.54968632177,True,True,State 1
328740889567098768,49066620,Brand 8,Cata 4,8545.307914740744,2.5836423641537762,22078.01954326275,True,False,State 2
262689675778439011,21941713,Brand 13,Cata 3,9589.140050957443,4.127305333813425,39577.30887900059,False,True,State 1
